StockCode,Description,GrossRevenue,NetRevenue,UnitsSold,SalesLines,Orders,ReturnValue,ReturnedUnits,DescriptionQualityFlag,CommercialValidity,ReturnValueRate,ReturnRisk,CommercialPerformanceScore,StrategicClassification
85017A,ENVELOPE 50 ROMANTIC IMAGES,799.8,799.8,1166,185,179,0.0,0,Commercial Description,Valid,0.0,Low,0.5378,Core Commercial Product
84632,DECORATIVE HANGING SHELVING UNIT,859.2500000000001,799.3000000000001,15,12,12,-59.95,1,Commercial Description,Valid,0.0698,Moderate,0.3896,Monitor Return Risk
72801G,S/4 BURGUNDY WINE DINNER CANDLES,798.62,798.62,1325,69,67,0.0,0,Commercial Description,Valid,0.0,Low,0.5446,Core Commercial Product
21454,PAINTED PINK RABBIT,807.5999999999999,797.4,937,198,195,-10.2,12,Commercial Description,Valid,0.0126,Low,0.5237,Core Commercial Product
20997,ROSE DU SUD CUSHION COVER,796.74,796.74,170,83,83,0.0,0,Commercial Description,Valid,0.0,Low,0.4479,Core Commercial Product
21723,ALPHABET HEARTS STICKER SHEET,796.21,796.2099999999999,895,143,136,0.0,0,Commercial Description,Valid,0.0,Low,0.5213,Core Commercial Product
21015,DARK BIRD HOUSE TREE DECORATION,797.3299999999999,796.17,1720,195,187,-1.16,4,Commercial Description,Valid,0.0015,Low,0.559,Core Commercial Product
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,806.5799999999999,793.88,91,68,68,-12.7,2,Commercial Description,Valid,0.0157,Low,0.4272,Core Commercial Product
72529W,WHITE ADVENT CANDLE,918.75,793.69,464,53,52,-125.06,74,Commercial Description,Valid,0.1361,Moderate,0.4898,Monitor Return Risk
23521,CAT AND BIRD WALL ART,793.3699999999999,793.37,413,44,44,0.0,0,Commercial Description,Valid,0.0,Low,0.4839,Core Commercial Product
35915C,PEACH KNITTED HEN,793.32,793.32,662,84,84,0.0,0,Commercial Description,Valid,0.0,Low,0.5058,Core Commercial Product
22447,PIN CUSHION RUSSIAN DOLL BLUE,813.16,793.0600000000001,252,85,83,-20.1,6,Commercial Description,Valid,0.0247,Low,0.4615,Core Commercial Product
23519,EMBROIDERED RIBBON REEL CLAIRE,792.31,792.31,224,24,24,0.0,0,Commercial Description,Valid,0.0,Low,0.4566,Core Commercial Product
45008C,DECORATIVE NET CANOPY CREAM,792.0699999999999,792.0699999999999,83,36,36,0.0,0,Commercial Description,Valid,0.0,Low,0.4248,Core Commercial Product
84712B,PINK JEWELLED PHOTO FRAME,791.0100000000001,791.01,101,62,61,0.0,0,Commercial Description,Valid,0.0,Low,0.4298,Core Commercial Product
23568,EGG CUP HENRIETTA HEN CREAM,787.52,786.27,630,49,49,-1.25,1,Commercial Description,Valid,0.0016,Low,0.5024,Core Commercial Product
22058,CERAMIC LOVE HEARTS DESIGN MUG,795.72,783.8,520,117,110,-11.92,8,Commercial Description,Valid,0.015,Low,0.4939,Core Commercial Product
72799C,PINK PILLAR CANDLE SILVER FLOCK,783.0999999999999,783.1,471,48,48,0.0,0,Commercial Description,Valid,0.0,Low,0.4893,Core Commercial Product
21455,PAINTED YELLOW WOODEN DAISY,797.27,782.8199999999999,901,173,169,-14.450000000000001,17,Commercial Description,Valid,0.0181,Low,0.52,Core Commercial Product
20910,VINTAGE PHOTO ALBUM PARIS DAYS,781.8199999999999,781.8199999999999,108,50,49,0.0,0,Commercial Description,Valid,0.0,Low,0.4311,Core Commercial Product
84847,FLORAL BATHROOM SET,1149.73,781.45,2330,53,53,-368.28,1116,Commercial Description,Valid,0.3203,Very High,0.5742,High Return Risk
23106,ZINC HEARTS PLANT POT HOLDER,815.59,780.9100000000001,291,54,54,-34.68,12,Commercial Description,Valid,0.0425,Low,0.4663,Core Commercial Product
84247E,PACK/12 XMAS FUN CARD,1072.9000000000003,779.4000000000001,379,112,109,-293.50000000000006,106,Commercial Description,Valid,0.2736,High,0.4791,High Return Risk
37494A,FAIRY CAKE CERAMIC BUTTER DISH,793.4399999999999,778.69,237,55,55,-14.750000000000002,5,Commercial Description,Valid,0.0186,Low,0.4572,Core Commercial Product
37461,FUNKY MONKEY MUG,779.89,778.64,743,106,102,-1.25,1,Commercial Description,Valid,0.0016,Low,0.5098,Core Commercial Product
20989,URBAN CHIC CHOPSTICKS SET/5,782.18,778.28,407,61,61,-3.9,2,Commercial Description,Valid,0.005,Low,0.4813,Core Commercial Product
85044,RED REINDEER STRING OF 20 LIGHTS,801.4,778.05,149,49,48,-23.35,5,Commercial Description,Valid,0.0291,Low,0.4411,Core Commercial Product
23409,PHOTO FRAME LINEN AND LACE LARGE,801.6800000000001,775.43,215,45,45,-26.25,7,Commercial Description,Valid,0.0327,Low,0.453,Core Commercial Product
21456,2 PICTURE BOOK EGGS EASTER CHICKS,776.05,774.8,738,67,66,-1.25,1,Commercial Description,Valid,0.0016,Low,0.5089,Core Commercial Product
22408,MONEY BOX CONFECTIONERY DESIGN,813.67,774.26,662,99,97,-39.41,37,Commercial Description,Valid,0.0484,Low,0.5033,Core Commercial Product
20661,BLUE SPOTTY PURSE,983.0099999999999,772.71,899,129,127,-210.3,354,Commercial Description,Valid,0.2139,High,0.5183,High Return Risk
23071,MARIE ANTOIENETT TRINKET BOX GOLD,1205.1,771.1,315,25,24,-434.0,76,Commercial Description,Valid,0.3601,Very High,0.4691,High Return Risk
35095B,RED VICTORIAN FABRIC OVAL BOX,770.8399999999999,770.84,1957,181,177,0.0,0,Commercial Description,Valid,0.0,Low,0.5626,Core Commercial Product
85145,JARDIN ETCHED GLASS LARGE BELL JAR,809.0499999999998,770.8,91,32,32,-38.25,3,Commercial Description,Valid,0.0473,Low,0.4237,Core Commercial Product
22640,SET OF 4 NAPKIN CHARMS 3 KEYS,770.4899999999999,770.49,359,93,90,0.0,0,Commercial Description,Valid,0.0,Low,0.4749,Core Commercial Product
23115,Damaged,770.32,770.32,152,46,46,0.0,0,Operational / Dirty Description,Review Required,0.0,Low,0.4405,Review / Operational
22825,DECORATIVE PLANT POT WITH FRIEZE,822.87,769.62,103,44,42,-53.25,7,Commercial Description,Valid,0.0647,Moderate,0.4274,Monitor Return Risk
90200B,BLACK SWEETHEART BRACELET,783.9499999999999,766.95,185,87,86,-17.0,4,Commercial Description,Valid,0.0217,Low,0.4468,Core Commercial Product
84029C,BROWN FURRY HOT WATER BOTTLE,766.19,766.19,204,49,49,0.0,0,Commercial Description,Valid,0.0,Low,0.4494,Core Commercial Product
23335,EGG FRYING PAN IVORY,790.7800000000001,765.82,377,99,98,-24.96,12,Commercial Description,Valid,0.0316,Low,0.4765,Core Commercial Product
84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,765.13,765.13,413,51,44,0.0,0,Commercial Description,Valid,0.0,Low,0.4799,Core Commercial Product
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,765.02,765.02,345,31,30,0.0,0,Commercial Description,Valid,0.0,Low,0.4721,Core Commercial Product
84782A,PINK 3 TIER GLASS PLATE STAND,840.45,763.95,119,34,34,-76.5,6,Commercial Description,Valid,0.091,Moderate,0.4319,Monitor Return Risk
47594B,SCOTTIES DESIGN WASHBAG,808.39,763.54,408,135,135,-44.85000000000001,23,Commercial Description,Valid,0.0555,Moderate,0.4791,Monitor Return Risk
23550,WRAP ALPHABET POSTER,763.1,763.1,1855,64,64,0.0,0,Commercial Description,Valid,0.0,Low,0.5587,Core Commercial Product
72750A,"F.FAIRY S/3 CANDLE/GLASS,LILY/VALLY",766.8499999999999,762.95,383,18,18,-3.9,2,Commercial Description,Valid,0.0051,Low,0.4762,Core Commercial Product
22124,SET OF 2 TEA TOWELS PING MICROWAVE,761.97,761.97,302,134,132,0.0,0,Commercial Description,Valid,0.0,Low,0.465,Core Commercial Product
20833,SHAKER THROW  QUILTED,811.8,761.85,52,7,7,-49.95,1,Commercial Description,Valid,0.0615,Moderate,0.4081,Monitor Return Risk
84762C,GREEN PICNIC BARBECUE BUCKET,761.25,761.25,105,44,44,0.0,0,Commercial Description,Valid,0.0,Low,0.4265,Core Commercial Product
35811A,ENAMEL PINK SUGAR CONTAINER,762.97,758.77,434,87,87,-4.2,2,Commercial Description,Valid,0.0055,Low,0.4815,Core Commercial Product
23282,FOLDING BUTTERFLY MIRROR IVORY,757.86,757.86,812,137,135,0.0,0,Commercial Description,Valid,0.0,Low,0.5105,Core Commercial Product
85131B,BEADED CRYSTAL HEART GREEN ON STICK,757.0899999999999,757.09,979,225,216,0.0,0,Commercial Description,Valid,0.0,Low,0.5204,Core Commercial Product
22638,SET OF 4 NAPKIN CHARMS CROWNS,758.18,755.63,414,81,77,-2.55,1,Commercial Description,Valid,0.0034,Low,0.4784,Core Commercial Product
23123,COCKTAIL SWORDS 50 PIECES,759.5700000000002,754.59,935,97,97,-4.98,6,Commercial Description,Valid,0.0066,Low,0.5169,Core Commercial Product
90200A,PURPLE SWEETHEART BRACELET,770.9100000000001,753.91,182,106,101,-17.0,4,Commercial Description,Valid,0.0221,Low,0.4441,Core Commercial Product
72755C,FLOWER FAIRY OIL BURNER SET ROSE,767.0,753.25,592,17,17,-13.75,11,Commercial Description,Valid,0.0179,Low,0.4944,Core Commercial Product
16259,PIECE OF CAMO STATIONERY SET,766.0899999999999,751.99,5473,60,60,-14.100000000000001,134,Commercial Description,Valid,0.0184,Low,0.6042,Core Commercial Product
23124,18PC WOODEN CUTLERY SET DISPOSABLE,751.3800000000001,751.38,567,43,43,0.0,0,Commercial Description,Valid,0.0,Low,0.4922,Core Commercial Product
85110,BLACK SILVER FLOWER T-LIGHT HOLDER,1138.04,750.6800000000001,11520,27,27,-387.36,5040,Commercial Description,Valid,0.3404,Very High,0.621,High Return Risk
84653,GREEN ROSE QUILT,750.4800000000001,750.48,14,15,15,0.0,0,Commercial Description,Valid,0.0,Low,0.3808,Core Commercial Product
21554,CERAMIC BIRDHOUSE RED ROOF LARGE,767.7500000000001,749.9,167,26,26,-17.85,3,Commercial Description,Valid,0.0232,Low,0.4398,Core Commercial Product
90209B,GREEN ENAMEL+GLASS HAIR COMB,749.6500000000002,749.65,389,104,98,0.0,0,Commercial Description,Valid,0.0,Low,0.4747,Core Commercial Product
90161B,ANT COPPER TURQ BOUDICCA BRACELET,749.4300000000002,749.43,150,78,76,0.0,0,Commercial Description,Valid,0.0,Low,0.4366,Core Commercial Product
21001,ROSE DU SUD WASHBAG,749.0100000000001,749.01,148,95,90,0.0,0,Commercial Description,Valid,0.0,Low,0.436,Core Commercial Product
23324,RUSTIC STRAWBERRY JAMPOT LARGE,816.0400000000001,748.5300000000001,399,46,46,-67.50999999999999,35,Commercial Description,Valid,0.0827,Moderate,0.4754,Monitor Return Risk
84761,IVORY HANGING BIRD PLANTER,768.8499999999999,748.4499999999999,276,63,63,-20.4,8,Commercial Description,Valid,0.0265,Low,0.4585,Core Commercial Product
23025,DRAWER KNOB VINTAGE GLASS BALL,760.8000000000001,748.32,350,55,55,-12.48,6,Commercial Description,Valid,0.0164,Low,0.4695,Core Commercial Product
35647,VINTAGE BEAD PINK SHADE,748.24,748.24,563,75,74,0.0,0,Commercial Description,Valid,0.0,Low,0.4904,Core Commercial Product
90209C,PINK ENAMEL+GLASS HAIR COMB,760.7900000000001,748.19,402,74,72,-12.600000000000001,6,Commercial Description,Valid,0.0166,Low,0.4752,Core Commercial Product
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,751.6800000000001,747.48,810,66,62,-4.2,4,Commercial Description,Valid,0.0056,Low,0.5079,Core Commercial Product
84620,BLUE GINGHAM ROSE CUSHION COVER,746.61,746.61,121,51,51,0.0,0,Commercial Description,Valid,0.0,Low,0.4289,Core Commercial Product
23022,SMALL BONNE JAM JAR  T-LIGHT HOLDER,808.16,745.76,422,26,24,-62.400000000000006,30,Commercial Description,Valid,0.0772,Moderate,0.4771,Monitor Return Risk
21194,PINK  HONEYCOMB PAPER FAN,751.4999999999999,745.0,578,100,98,-6.5,10,Commercial Description,Valid,0.0086,Low,0.4908,Core Commercial Product
72800A,S/4 BLACK DINNER CANDLE SILVER FLOC,743.2599999999998,743.26,674,48,48,0.0,0,Commercial Description,Valid,0.0,Low,0.4982,Core Commercial Product
84663A,GRASS HOPPER WOODEN WALL CLOCK,758.21,743.15,375,73,71,-15.059999999999999,6,Commercial Description,Valid,0.0199,Low,0.4715,Core Commercial Product
21377,SMALL CAMPHOR WOOD FIELD  MUSHROOM,760.8299999999999,741.63,527,102,99,-19.200000000000003,24,Commercial Description,Valid,0.0252,Low,0.4866,Core Commercial Product
47581B,FAIRY CAKE WICKER PICNIC BASKET,753.77,741.02,46,39,39,-12.75,1,Commercial Description,Valid,0.0169,Low,0.4009,Core Commercial Product
23223,CHRISTMAS TREE HANGING SILVER,750.1899999999999,740.23,801,90,89,-9.96,12,Commercial Description,Valid,0.0133,Low,0.5063,Core Commercial Product
21503,TOYBOX  WRAP,740.4200000000001,740.0,1801,67,67,-0.42,1,Commercial Description,Valid,0.0006,Low,0.5522,Core Commercial Product
85130C,BEADED CRYSTAL HEART BLUE  LARGE,737.8900000000001,737.89,659,69,68,0.0,0,Commercial Description,Valid,0.0,Low,0.4963,Core Commercial Product
84625D,WHITE NEWBAROQUE CANDLESTICK CANDLE,793.34,735.49,650,57,56,-57.85000000000001,31,Commercial Description,Valid,0.0729,Moderate,0.4952,Monitor Return Risk
84715,SET OF 6 ICE CREAM SKITTLES,734.89,734.8900000000001,241,49,49,0.0,0,Commercial Description,Valid,0.0,Low,0.4502,Core Commercial Product
21415,CLAM SHELL SMALL,734.57,734.57,351,84,82,0.0,0,Commercial Description,Valid,0.0,Low,0.4674,Core Commercial Product
79030D,"TUMBLER, BAROQUE",734.26,733.87,1016,66,64,-0.39,1,Commercial Description,Valid,0.0005,Low,0.5186,Core Commercial Product
84708B,PINK JEWELLED PHOTO FRAME,732.79,732.7900000000001,142,55,54,0.0,0,Commercial Description,Valid,0.0,Low,0.4318,Core Commercial Product
85230F,JASMINE VOTIVE CANDLE,732.6600000000001,732.66,2970,65,64,0.0,0,Commercial Description,Valid,0.0,Low,0.5783,Core Commercial Product
23435,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,732.4200000000002,732.4200000000001,824,99,99,0.0,0,Commercial Description,Valid,0.0,Low,0.5066,Core Commercial Product
84821,DANISH ROSE DELUXE COASTER,742.4999999999998,732.3,1318,76,75,-10.2,12,Commercial Description,Valid,0.0137,Low,0.533,Core Commercial Product
21365,MIRRORED WALL ART STARS,731.5300000000001,731.5300000000001,476,81,77,0.0,0,Commercial Description,Valid,0.0,Low,0.4805,Core Commercial Product
ADJUST2,Adjustment by Peter on Jun 25 2010,731.0500000000001,731.0500000000001,3,3,3,0.0,0,Operational / Dirty Description,Review Required,0.0,Low,0.3606,Review / Operational
23006,TRAVEL CARD WALLET FLOWER MEADOW,762.75,729.99,1758,178,178,-32.760000000000005,78,Commercial Description,Valid,0.0429,Low,0.549,Core Commercial Product
22100,SKULLS SQUARE TISSUE BOX,729.55,729.55,1016,138,127,0.0,0,Commercial Description,Valid,0.0,Low,0.5176,Core Commercial Product
21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,728.97,728.97,560,88,88,0.0,0,Commercial Description,Valid,0.0,Low,0.4868,Core Commercial Product
35095A,BLUE VICTORIAN FABRIC OVAL BOX,728.9200000000001,728.9200000000001,1813,169,166,0.0,0,Commercial Description,Valid,0.0,Low,0.5507,Core Commercial Product
79342B,BROWN FLOWER LIGHTS,824.9499999999999,728.9,119,40,40,-96.05,15,Commercial Description,Valid,0.1164,Moderate,0.425,Monitor Return Risk
21221,SET/4 BADGES CUTE CREATURES,728.4400000000002,728.4399999999999,547,111,107,0.0,0,Commercial Description,Valid,0.0,Low,0.4852,Core Commercial Product
47503F,ASS FLORAL PRINT TORCH,729.9499999999999,728.3,2567,15,15,-1.65,1,Commercial Description,Valid,0.0023,Low,0.5704,Core Commercial Product
20657,TROPICAL LUGGAGE TAG,727.7200000000001,727.72,1878,122,121,0.0,0,Commercial Description,Valid,0.0,Low,0.5524,Core Commercial Product
23522,DOG AND BALL WALL ART,727.4399999999999,727.4399999999999,354,32,32,0.0,0,Commercial Description,Valid,0.0,Low,0.4656,Core Commercial Product
22936,BAKING MOULD ROSE WHITE CHOCOLATE,925.2199999999999,727.22,288,55,51,-198.0,72,Commercial Description,Valid,0.214,High,0.4554,High Return Risk
85006,SET 4 NURSERY DES ROUND BOXES,1289.31,724.91,3049,48,48,-564.4,1480,Commercial Description,Valid,0.4378,Very High,0.577,High Return Risk
23454,SET OF 3 MINI HANGING PORTRAITS,733.2,724.9,174,56,53,-8.3,2,Commercial Description,Valid,0.0113,Low,0.4362,Core Commercial Product
23562,SET OF 6 RIBBONS PERFECTLY PRETTY,724.5899999999999,724.59,251,43,43,0.0,0,Commercial Description,Valid,0.0,Low,0.4491,Core Commercial Product
21026,SPACE OWL,724.25,724.25,553,129,124,0.0,0,Commercial Description,Valid,0.0,Low,0.4848,Core Commercial Product
23114,Damaged,737.9499999999999,723.1,149,48,48,-14.850000000000001,3,Operational / Dirty Description,Review Required,0.0201,Low,0.4308,Review / Operational
85135A,YELLOW DRAGONFLY HELICOPTER,754.5900000000003,722.79,94,71,71,-31.8,4,Commercial Description,Valid,0.0421,Low,0.4151,Core Commercial Product
20701,PINK CAT FLORAL CUSHION COVER,721.4899999999999,721.49,353,52,52,0.0,0,Commercial Description,Valid,0.0,Low,0.4644,Core Commercial Product
84569A,PACK 3 IRON ON DOG PATCHES,722.4399999999999,721.19,576,120,115,-1.25,1,Commercial Description,Valid,0.0017,Low,0.486,Core Commercial Product
84595E,LARGE TORTILLA DESIGN RED BOWL,723.5699999999998,720.28,367,45,45,-3.29,1,Commercial Description,Valid,0.0045,Low,0.4663,Core Commercial Product
21379,CAMPHOR WOOD PORTOBELLO MUSHROOM,719.2299999999998,719.23,650,128,125,0.0,0,Commercial Description,Valid,0.0,Low,0.4914,Core Commercial Product
20854,BLUE PATCH PURSE PINK HEART,742.78,718.03,459,118,111,-24.75,15,Commercial Description,Valid,0.0333,Low,0.4759,Core Commercial Product
35951,FOLKART BAUBLE CHRISTMAS DECORATION,717.99,717.99,1352,50,49,0.0,0,Commercial Description,Valid,0.0,Low,0.5312,Core Commercial Product
23140,TRIPLE WIRE HOOK IVORY HEART,766.0999999999999,716.3,182,53,53,-49.8,12,Commercial Description,Valid,0.065,Moderate,0.4364,Monitor Return Risk
21457,2 PICTURE BOOK EGGS EASTER DUCKS,716.0,716.0,685,65,65,0.0,0,Commercial Description,Valid,0.0,Low,0.4941,Core Commercial Product
85088,CANDY SPOT HAND BAG,723.85,715.45,347,81,80,-8.4,4,Commercial Description,Valid,0.0116,Low,0.4628,Core Commercial Product
84976,RECTANGULAR SHAPED MIRROR,726.12,715.0600000000001,675,60,59,-11.06,14,Commercial Description,Valid,0.0152,Low,0.4928,Core Commercial Product
22641,SET OF 4 NAPKIN CHARMS INSTRUMENT,715.06,715.06,303,73,71,0.0,0,Commercial Description,Valid,0.0,Low,0.4559,Core Commercial Product
21300,ANTIQUE EDWARDIAN DRESSER,841.7,714.2,53,16,16,-127.5,10,Commercial Description,Valid,0.1515,High,0.3994,High Return Risk
84033,FLAG OF ST GEORGE,735.38,713.93,392,53,51,-21.45,13,Commercial Description,Valid,0.0292,Low,0.4676,Core Commercial Product
20850,ZINC HEART LATTICE PLANTER BOWL,713.7999999999998,713.8000000000001,820,24,24,0.0,0,Commercial Description,Valid,0.0,Low,0.502,Core Commercial Product
35915B,BLUE KNITTED HEN,713.73,713.73,563,68,67,0.0,0,Commercial Description,Valid,0.0,Low,0.4834,Core Commercial Product
21076,SET/20 COLLAGE PAPER NAPKIN,714.5500000000001,713.6999999999999,843,96,94,-0.85,1,Commercial Description,Valid,0.0012,Low,0.5032,Core Commercial Product
21133,PAINTED BIRD ASSORTED CHRISTMAS,712.9100000000001,712.9100000000001,410,46,46,0.0,0,Commercial Description,Valid,0.0,Low,0.4689,Core Commercial Product
21344,MOROCCAN BEATEN METAL DISH,749.82,712.07,166,28,28,-37.75,5,Commercial Description,Valid,0.0503,Moderate,0.4311,Monitor Return Risk
16015,MEDIUM CHINESE STYLE SCISSOR,711.88,711.88,1573,70,69,0.0,0,Commercial Description,Valid,0.0,Low,0.5382,Core Commercial Product
23325,RUSTIC STRAWBERRY JAMPOT SMALL,740.94,711.24,462,38,38,-29.700000000000003,18,Commercial Description,Valid,0.0401,Low,0.4742,Core Commercial Product
23070,EDWARDIAN HEART PHOTO FRAME,709.5399999999998,709.5400000000001,160,44,44,0.0,0,Commercial Description,Valid,0.0,Low,0.4297,Core Commercial Product
22345,PARTY PIZZA DISH BLUE+WHITE SPOT,724.12,708.8199999999999,1480,134,129,-15.3,18,Commercial Description,Valid,0.0211,Low,0.5345,Core Commercial Product
10134,COLOURING PENCILS BROWN TUBE,721.13,708.63,625,57,55,-12.5,10,Commercial Description,Valid,0.0173,Low,0.4872,Core Commercial Product
21442,GREEN BIRDHOUSE DECORATION,706.6299999999999,706.63,974,137,136,0.0,0,Commercial Description,Valid,0.0,Low,0.5097,Core Commercial Product
23487,SWEET HEART CAKE CARRIER,795.58,706.03,80,50,50,-89.55000000000001,9,Commercial Description,Valid,0.1126,Moderate,0.4082,Monitor Return Risk
21443,OLIVE CHALET BIRDFEEDER,727.93,705.4300000000001,257,29,29,-22.5,6,Commercial Description,Valid,0.0309,Low,0.4465,Core Commercial Product
23055,IVORY CHANDELIER T-LIGHT HOLDER,1395.18,704.46,657,46,44,-690.72,432,Commercial Description,Valid,0.4951,Very High,0.489,High Return Risk
84869,CANDY BUTTON PHOTO ALBUM,703.54,703.54,302,27,27,0.0,0,Commercial Description,Valid,0.0,Low,0.4535,Core Commercial Product
22486,PLASMATRONIC LAMP,881.8999999999999,703.4,106,48,47,-178.5,14,Commercial Description,Valid,0.2024,High,0.4155,High Return Risk
84563A,PINK & WHITE BREAKFAST TRAY,703.0,703.0,142,66,64,0.0,0,Commercial Description,Valid,0.0,Low,0.425,Core Commercial Product
90161D,ANT COPPER PINK BOUDICCA BRACELET,702.7900000000001,702.79,141,77,75,0.0,0,Commercial Description,Valid,0.0,Low,0.4246,Core Commercial Product
84872a,TEATIME FUNKY FLOWER BACKPACK FOR 2,702.5899999999998,702.5899999999999,64,50,45,0.0,0,Commercial Description,Valid,0.0,Low,0.4013,Core Commercial Product
20763,DAISY SKETCHBOOK,714.23,699.23,269,77,75,-15.0,4,Commercial Description,Valid,0.021,Low,0.4473,Core Commercial Product
84917,WHITE HAND TOWEL WITH BUTTERFLY,698.66,698.66,232,59,56,0.0,0,Commercial Description,Valid,0.0,Low,0.4411,Core Commercial Product
23222,CHRISTMAS TREE HANGING GOLD,718.53,698.61,799,79,77,-19.92,24,Commercial Description,Valid,0.0277,Low,0.4979,Core Commercial Product
21740,COSY SLIPPER SHOES LARGE RED,698.0100000000001,698.0100000000001,201,69,68,0.0,0,Commercial Description,Valid,0.0,Low,0.4355,Core Commercial Product
84584,PINK GINGHAM CAT WITH SCARF,696.7499999999998,696.75,282,77,77,0.0,0,Commercial Description,Valid,0.0,Low,0.4489,Core Commercial Product
22981,PANTRY APPLE CORER,704.1300000000001,695.43,471,110,107,-8.7,6,Commercial Description,Valid,0.0124,Low,0.4726,Core Commercial Product
21319,GLASS CHALICE GREEN  SMALL,750.33,693.38,510,72,71,-56.95,39,Commercial Description,Valid,0.0759,Moderate,0.4764,Monitor Return Risk
84689,S/2 BEACH HUT TREASURE CHESTS,742.9,693.35,312,45,45,-49.550000000000004,17,Commercial Description,Valid,0.0667,Moderate,0.4532,Monitor Return Risk
72755D,FLOWER FAIRY OIL BURNER SET SUMMER,693.25,693.25,533,15,15,0.0,0,Commercial Description,Valid,0.0,Low,0.4776,Core Commercial Product
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,693.1999999999999,693.1999999999999,591,113,108,0.0,0,Commercial Description,Valid,0.0,Low,0.4822,Core Commercial Product
35964,FOLKART CLIP ON STARS,693.0799999999999,693.08,1189,136,132,0.0,0,Commercial Description,Valid,0.0,Low,0.5194,Core Commercial Product
84971L,LARGE HEART FLOWERS HOOK,723.51,692.26,585,64,63,-31.25,25,Commercial Description,Valid,0.0432,Low,0.4813,Core Commercial Product
84952B,BLACK LOVE BIRD T-LIGHT HOLDER,701.7399999999999,690.49,427,49,45,-11.25,3,Commercial Description,Valid,0.016,Low,0.4672,Core Commercial Product
72753A,S/3 FLWR FAIRY LILLY CANDLES,690.2399999999999,690.24,315,15,15,0.0,0,Commercial Description,Valid,0.0,Low,0.4532,Core Commercial Product
21308,LOUVRE VANITY MIRROR,705.9,690.0,132,8,8,-15.9,2,Commercial Description,Valid,0.0225,Low,0.4201,Core Commercial Product
20862,PINK PATCH PENCIL CASE BLUE HEART,691.1400000000001,689.0400000000001,325,40,40,-2.1,1,Commercial Description,Valid,0.003,Low,0.4547,Core Commercial Product
85096,HILDA CANDY SPOT RABBIT,692.1600000000001,688.41,166,72,69,-3.75,1,Commercial Description,Valid,0.0054,Low,0.427,Core Commercial Product
23458,DOLLY CABINET 3 DRAWERS,762.45,687.6999999999999,51,34,34,-74.75,5,Commercial Description,Valid,0.098,Moderate,0.3931,Monitor Return Risk
72131,COLUMBIAN CANDLE RECTANGLE,717.6300000000001,686.43,761,62,57,-31.2,16,Commercial Description,Valid,0.0435,Low,0.4937,Core Commercial Product
85231E,STRAWBERRY SCENTED SET/9 T-LIGHTS,695.2299999999999,685.03,835,110,109,-10.2,12,Commercial Description,Valid,0.0147,Low,0.4977,Core Commercial Product
90160C,TURQ+RED BOUDICCA LARGE BRACELET,684.2200000000003,684.22,98,46,45,0.0,0,Commercial Description,Valid,0.0,Low,0.4095,Core Commercial Product
90082D,DIAMANTE BOW BROOCH BLACK COLOUR,696.1,683.4,108,55,53,-12.7,2,Commercial Description,Valid,0.0182,Low,0.4127,Core Commercial Product
85186A,EASTER BUNNY GARLAND OF FLOWERS,688.42,683.38,1476,164,160,-5.04,12,Commercial Description,Valid,0.0073,Low,0.5298,Core Commercial Product
62094B,TURQ ICE CREAM BUM BAG,683.0500000000002,683.05,306,69,68,0.0,0,Commercial Description,Valid,0.0,Low,0.4504,Core Commercial Product
22033,BOTANICAL ROSE GREETING CARD,681.9300000000001,681.93,1603,130,130,0.0,0,Commercial Description,Valid,0.0,Low,0.5343,Core Commercial Product
84865,NEW BAROQUE BLACK PHOTO ALBUM,681.9000000000001,681.9,81,54,50,0.0,0,Commercial Description,Valid,0.0,Low,0.4043,Core Commercial Product
85084,HOLLY TOP CHRISTMAS STOCKING,681.3999999999999,681.4,682,91,88,0.0,0,Commercial Description,Valid,0.0,Low,0.487,Core Commercial Product
84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,688.73,681.08,274,84,84,-7.649999999999999,3,Commercial Description,Valid,0.0111,Low,0.4449,Core Commercial Product
21674,RIDGED GLASS PENDANT LAMPSHADE,680.8499999999999,680.8499999999999,43,11,11,0.0,0,Commercial Description,Valid,0.0,Low,0.3875,Core Commercial Product
21386,IVORY HANGING DECORATION  EGG,680.78,680.78,1148,110,105,0.0,0,Commercial Description,Valid,0.0,Low,0.5147,Core Commercial Product
21847,GREEN  DIAMANTE PEN IN GIFT BOX,679.5799999999999,679.58,348,73,71,0.0,0,Commercial Description,Valid,0.0,Low,0.4559,Core Commercial Product
23187,FRENCH STYLE STORAGE JAR BONBONS,695.0600000000001,678.5699999999999,2338,80,79,-16.49,37,Commercial Description,Valid,0.0237,Low,0.5546,Core Commercial Product
84916,HAND TOWEL PALE BLUE W FLOWERS,676.91,676.91,267,64,59,0.0,0,Commercial Description,Valid,0.0,Low,0.4429,Core Commercial Product
